nohup: ignoring input
Starting Perturbation Worker in background...
Polling 'data/clean_subgraphs' and saving to 'data/perturbed_subgraphs'
[18:52:01] Perturbed: 19719.json | Total: 1
[18:52:03] Perturbed: 15554.json | Total: 2
[18:52:08] Perturbed: 27610.json | Total: 3
[18:52:11] Perturbed: 24488.json | Total: 4
[18:52:18] Perturbed: 14923.json | Total: 5
[18:52:18] Perturbed: 26800.json | Total: 6
[18:52:22] Perturbed: 25156.json | Total: 7
[18:52:27] Perturbed: 7974.json | Total: 8
[18:52:30] Perturbed: 3708.json | Total: 9
[18:52:35] Perturbed: 27677.json | Total: 10
[18:52:43] Perturbed: 10143.json | Total: 11
[18:52:45] Perturbed: 15164.json | Total: 12
[18:52:48] Perturbed: 7855.json | Total: 13
[18:52:51] Perturbed: 2621.json | Total: 14
[18:52:52] Perturbed: 10141.json | Total: 15
[18:52:55] Perturbed: 19829.json | Total: 16
[18:53:04] Perturbed: 24611.json | Total: 17
[18:53:04] Perturbed: 29598.json | Total: 18
[18:53:12] Perturbed: 8396.json | Total: 19
[18:53:14] Perturbed: 17797.json | Total: 20
[18:53:17] Perturbed: 20145.json | Total: 21
[18:53:21] Perturbed: 19896.json | Total: 22
[18:53:25] Perturbed: 16037.json | Total: 23
[18:53:29] Perturbed: 15426.json | Total: 24
[18:53:34] Perturbed: 24275.json | Total: 25
[18:53:38] Perturbed: 29959.json | Total: 26
[18:53:41] Perturbed: 12032.json | Total: 27
[18:53:41] Perturbed: 6819.json | Total: 28
[18:54:01] Perturbed: 9839.json | Total: 29
[18:54:05] Perturbed: 2794.json | Total: 30
[18:54:05] Perturbed: 7744.json | Total: 31
[18:54:10] Perturbed: 5715.json | Total: 32
[18:54:15] Perturbed: 7385.json | Total: 33
[18:54:24] Perturbed: 13957.json | Total: 34
[18:54:24] Perturbed: 5527.json | Total: 35
[18:54:28] Perturbed: 16243.json | Total: 36
[18:54:31] Perturbed: 20887.json | Total: 37
[18:54:35] Perturbed: 12163.json | Total: 38
[18:54:44] Perturbed: 20025.json | Total: 39
[18:54:44] Perturbed: 5075.json | Total: 40
[18:54:53] Perturbed: 12513.json | Total: 41
[18:54:55] Perturbed: 26414.json | Total: 42
[18:54:55] Perturbed: 27492.json | Total: 43
[18:55:03] Perturbed: 25596.json | Total: 44
[18:55:03] Perturbed: 4690.json | Total: 45
[18:55:08] Perturbed: 9357.json | Total: 46
[18:55:17] Perturbed: 5550.json | Total: 47
[18:55:21] Perturbed: 11478.json | Total: 48
[18:55:24] Perturbed: 26372.json | Total: 49
[18:55:28] Perturbed: 11930.json | Total: 50
[18:55:32] Perturbed: 7899.json | Total: 51
[18:55:35] Perturbed: 21297.json | Total: 52
[18:55:39] Perturbed: 4903.json | Total: 53
[18:55:43] Perturbed: 22698.json | Total: 54
[18:55:47] Perturbed: 15277.json | Total: 55
[18:55:51] Perturbed: 29235.json | Total: 56
[18:55:55] Perturbed: 14554.json | Total: 57
[18:55:58] Perturbed: 24387.json | Total: 58
[18:56:03] Perturbed: 13100.json | Total: 59
[18:56:07] Perturbed: 30088.json | Total: 60
[18:56:07] Perturbed: 26798.json | Total: 61
[18:56:10] Perturbed: 13854.json | Total: 62
[18:56:14] Perturbed: 17484.json | Total: 63
[18:56:14] Perturbed: 28713.json | Total: 64
[18:56:19] Perturbed: 3612.json | Total: 65
[18:56:28] Perturbed: 25085.json | Total: 66
[18:56:32] Perturbed: 22044.json | Total: 67
[18:56:36] Perturbed: 21393.json | Total: 68
[18:56:39] Perturbed: 16153.json | Total: 69
[18:56:39] Perturbed: 10412.json | Total: 70
[18:56:45] Perturbed: 5703.json | Total: 71
[18:56:48] Perturbed: 30182.json | Total: 72
[18:56:52] Perturbed: 23234.json | Total: 73
[18:56:56] Perturbed: 29095.json | Total: 74
[18:56:59] Perturbed: 13004.json | Total: 75
[18:56:59] Perturbed: 10431.json | Total: 76
[18:57:03] Perturbed: 2443.json | Total: 77
[18:57:03] Perturbed: 26196.json | Total: 78
[18:57:12] Perturbed: 23224.json | Total: 79
[18:57:16] Perturbed: 9902.json | Total: 80
[18:57:19] Perturbed: 22857.json | Total: 81
Wikidata Rate Limit (429). Retrying in 2.0s... (Attempt 1)
Wikidata Rate Limit (429). Retrying in 4.0s... (Attempt 2)
Wikidata Rate Limit (429). Retrying in 8.0s... (Attempt 3)
Wikidata Rate Limit (429). Retrying in 16.0s... (Attempt 4)
Wikidata Rate Limit (429). Retrying in 32.0s... (Attempt 5)
[18:58:28] Perturbed: 20425.json | Total: 82
[18:58:32] Perturbed: 7080.json | Total: 83
[18:58:36] Perturbed: 8824.json | Total: 84
[18:58:36] Perturbed: 4691.json | Total: 85
[18:58:45] Perturbed: 10338.json | Total: 86
[18:58:49] Perturbed: 4841.json | Total: 87
[18:58:49] Perturbed: 10254.json | Total: 88
[18:58:57] Perturbed: 28108.json | Total: 89
[18:59:01] Perturbed: 12619.json | Total: 90
[18:59:01] Perturbed: 8566.json | Total: 91
[18:59:05] Perturbed: 23672.json | Total: 92
[18:59:10] Perturbed: 20633.json | Total: 93
[18:59:14] Perturbed: 10204.json | Total: 94
[18:59:18] Perturbed: 4940.json | Total: 95
[18:59:22] Perturbed: 8829.json | Total: 96
[18:59:26] Perturbed: 22791.json | Total: 97
[18:59:28] Perturbed: 7703.json | Total: 98
[18:59:28] Perturbed: 9437.json | Total: 99
[18:59:28] Perturbed: 5235.json | Total: 100
[18:59:33] Perturbed: 4744.json | Total: 101
[18:59:38] Perturbed: 27146.json | Total: 102
[18:59:43] Perturbed: 11033.json | Total: 103
[18:59:47] Perturbed: 15773.json | Total: 104
[18:59:47] Perturbed: 14322.json | Total: 105
[18:59:56] Perturbed: 21785.json | Total: 106
[18:59:59] Perturbed: 3405.json | Total: 107
[19:00:03] Perturbed: 2892.json | Total: 108
[19:00:07] Perturbed: 8905.json | Total: 109
[19:00:11] Perturbed: 12780.json | Total: 110
[19:00:14] Perturbed: 4587.json | Total: 111
[19:00:19] Perturbed: 28846.json | Total: 112
[19:00:23] Perturbed: 6733.json | Total: 113
[19:00:26] Perturbed: 24037.json | Total: 114
[19:00:36] Perturbed: 23258.json | Total: 115
[19:00:40] Perturbed: 23534.json | Total: 116
[19:00:43] Perturbed: 15974.json | Total: 117
[19:00:47] Perturbed: 20782.json | Total: 118
[19:00:50] Perturbed: 17774.json | Total: 119
[19:00:54] Perturbed: 16535.json | Total: 120
[19:00:54] Perturbed: 25977.json | Total: 121
[19:00:59] Perturbed: 23319.json | Total: 122
[19:01:02] Perturbed: 11278.json | Total: 123
[19:01:02] Perturbed: 27941.json | Total: 124
[19:01:02] Perturbed: 27935.json | Total: 125
[19:01:07] Perturbed: 9315.json | Total: 126
[19:01:16] Perturbed: 20798.json | Total: 127
[19:01:20] Perturbed: 4184.json | Total: 128
[19:01:23] Perturbed: 27847.json | Total: 129
[19:01:27] Perturbed: 24033.json | Total: 130
[19:01:31] Perturbed: 9729.json | Total: 131
[19:01:35] Perturbed: 12176.json | Total: 132
[19:01:39] Perturbed: 20367.json | Total: 133
[19:01:43] Perturbed: 14778.json | Total: 134
[19:01:43] Perturbed: 4370.json | Total: 135
[19:01:52] Perturbed: 8331.json | Total: 136
[19:01:52] Perturbed: 29314.json | Total: 137
[19:01:55] Perturbed: 10093.json | Total: 138
[19:02:04] Perturbed: 7253.json | Total: 139
[19:02:08] Perturbed: 26867.json | Total: 140
[19:02:12] Perturbed: 16549.json | Total: 141
[19:02:16] Perturbed: 10891.json | Total: 142
[19:02:20] Perturbed: 9355.json | Total: 143
[19:02:24] Perturbed: 14383.json | Total: 144
[19:02:24] Perturbed: 6543.json | Total: 145
[19:02:27] Perturbed: 20966.json | Total: 146
[19:02:27] Perturbed: 27849.json | Total: 147
[19:02:31] Perturbed: 24466.json | Total: 148
[19:02:35] Perturbed: 7515.json | Total: 149
[19:02:35] Perturbed: 27955.json | Total: 150
[19:02:49] Perturbed: 17662.json | Total: 151
[19:02:52] Perturbed: 15600.json | Total: 152
[19:02:56] Perturbed: 27804.json | Total: 153
[19:02:56] Perturbed: 4635.json | Total: 154
[19:02:56] Perturbed: 26652.json | Total: 155
[19:03:05] Perturbed: 14368.json | Total: 156
[19:03:05] Perturbed: 29730.json | Total: 157
[19:03:10] Perturbed: 8789.json | Total: 158
[19:03:13] Perturbed: 14543.json | Total: 159
[19:03:17] Perturbed: 26929.json | Total: 160
[19:03:20] Perturbed: 6172.json | Total: 161
[19:03:24] Perturbed: 23773.json | Total: 162
[19:03:24] Perturbed: 29358.json | Total: 163
[19:03:29] Perturbed: 26940.json | Total: 164
[19:03:37] Perturbed: 23433.json | Total: 165
[19:03:41] Perturbed: 26453.json | Total: 166
[19:03:44] Perturbed: 25210.json | Total: 167
[19:03:48] Perturbed: 21020.json | Total: 168
[19:03:52] Perturbed: 19910.json | Total: 169
[19:03:56] Perturbed: 16491.json | Total: 170
[19:03:56] Perturbed: 5311.json | Total: 171
[19:03:56] Perturbed: 3994.json | Total: 172
[19:04:04] Perturbed: 8457.json | Total: 173
[19:04:09] Perturbed: 22611.json | Total: 174
[19:04:13] Perturbed: 13156.json | Total: 175
Wikidata Rate Limit (429). Retrying in 2.0s... (Attempt 1)
Wikidata Rate Limit (429). Retrying in 4.0s... (Attempt 2)
Wikidata Rate Limit (429). Retrying in 8.0s... (Attempt 3)
Wikidata Rate Limit (429). Retrying in 16.0s... (Attempt 4)
Wikidata Rate Limit (429). Retrying in 32.0s... (Attempt 5)
Wikidata Rate Limit (429). Retrying in 60.0s... (Attempt 6)
[19:06:23] Perturbed: 26637.json | Total: 176
[19:06:27] Perturbed: 14937.json | Total: 177
[19:06:31] Perturbed: 5002.json | Total: 178
[19:06:36] Perturbed: 3726.json | Total: 179
[19:06:36] Perturbed: 3950.json | Total: 180
[19:06:41] Perturbed: 21028.json | Total: 181
[19:06:45] Perturbed: 13651.json | Total: 182
[19:06:49] Perturbed: 11891.json | Total: 183
[19:06:54] Perturbed: 21477.json | Total: 184
[19:06:58] Perturbed: 9496.json | Total: 185
[19:07:03] Perturbed: 24108.json | Total: 186
[19:07:07] Perturbed: 23196.json | Total: 187
[19:07:07] Perturbed: 11131.json | Total: 188
[19:07:12] Perturbed: 11833.json | Total: 189
[19:07:15] Perturbed: 13322.json | Total: 190
[19:07:19] Perturbed: 8568.json | Total: 191
[19:07:22] Perturbed: 9864.json | Total: 192
[19:07:26] Perturbed: 27538.json | Total: 193
[19:07:30] Perturbed: 11906.json | Total: 194
[19:07:34] Perturbed: 15632.json | Total: 195
[19:07:37] Perturbed: 6564.json | Total: 196
[19:07:37] Perturbed: 27600.json | Total: 197
[19:07:46] Perturbed: 6535.json | Total: 198
[19:07:46] Perturbed: 8335.json | Total: 199
[19:07:55] Perturbed: 21411.json | Total: 200
[19:07:59] Perturbed: 22323.json | Total: 201
[19:08:02] Perturbed: 23921.json | Total: 202
[19:08:06] Perturbed: 22438.json | Total: 203
[19:08:10] Perturbed: 15254.json | Total: 204
[19:08:13] Perturbed: 16188.json | Total: 205
[19:08:13] Perturbed: 27486.json | Total: 206
[19:08:18] Perturbed: 8847.json | Total: 207
[19:08:18] Perturbed: 28935.json | Total: 208
[19:08:26] Perturbed: 5423.json | Total: 209
[19:08:26] Perturbed: 26691.json | Total: 210
[19:08:30] Perturbed: 4452.json | Total: 211
[19:08:35] Perturbed: 28427.json | Total: 212
[19:08:39] Perturbed: 9647.json | Total: 213
